# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

p 2 0 875 181 5082 1290
b 3 0 1056 0 1241 854
b 3 0 1056 0 1436 934
p 2 0 912 144 6850 1415
b 3 0 1056 0 1955 1073
b 3 0 1056 0 2045 1121
p 2 1 931 124 9056 1594
b 3 0 1056 0 2122 1022
b 3 0 1056 0 2190 988
p 2 4 940 112 9512 1578
b 3 0 1056 0 1858 864
b 3 0 1056 0 2033 1010
p 2 14 988 54 8847 1656
b 3 0 1056 0 1917 975
b 3 0 1056 0 1969 997
p 2 8 1001 47 9354 1684
b 3 0 1056 0 1868 936
b 3 0 1056 0 2069 1020
p 2 4 1027 25 9934 1716
b 3 0 1056 0 1884 936
b 3 0 1056 0 2026 1064
p 2 4 1023 29 9434 1625
b 3 0 1056 0 2233 1049
b 3 0 1056 0 2580 1196
p 2 13 978 65 9734 1671
b 3 0 1056 0 2671 1057
b 3 0 1056 0 2706 1052
p 2 31 881 144 9505 1678
b 3 0 1056 0 1965 1056
b 3 0 1056 0 1617 892
p 2 8 964 84 8725 1573
b 3 0 1056 0 1200 760
b 3 0 1056 0 1292 779
p 2 2 892 162 6808 1420
b 3 0 1056 0 1517 803
b 3 0 1056 0 1621 861
p 2 8 919 129 7129 1426
b 3 0 1056 0 1086 654
b 3 0 1056 0 1163 704
p 2 0 907 149 5477 1313
b 3 0 1056 0 1003 637
b 3 0 1056 0 1079 700
p 2 0 975 81 5917 1391
b 3 0 1056 0 875 612
b 3 0 1056 0 973 680
p 2 0 870 186 4209 1253
b 3 0 1056 0 757 573
b 3 0 1056 0 980 754
p 2 0 961 95 4308 1289
b 3 0 1056 0 457 437
b 3 0 1056 0 573 547
p 2 0 932 124 3993 1262
b 3 0 1056 0 627 541
b 3 0 1056 0 661 551
p 2 0 992 64 3990 1307
b 3 0 1056 0 607 523
b 3 0 1056 0 851 739
p 2 0 998 58 4491 1318
b 3 0 1056 0 535 486
b 3 0 1056 0 674 622
p 2 0 1041 15 4631 1377
b 3 0 1056 0 640 614
b 3 0 1056 0 746 692
p 2 0 941 115 3943 1254
b 3 0 1056 0 616 554
b 3 0 1056 0 606 560
p 2 0 1008 48 3831 1315
b 3 0 1056 0 624 510
b 3 0 1056 0 664 514
p 2 0 811 245 3231 1183
b 3 0 1056 0 886 519
b 3 0 1056 0 1064 625
p 2 0 999 57 5152 1352
b 3 0 1056 0 757 568
b 3 0 1056 0 933 686
p 2 0 975 81 4291 1276
b 3 0 1056 0 1067 690
b 3 0 1056 0 1088 707
p 2 0 951 105 4303 1290
b 3 0 1056 0 976 590
b 3 0 1056 0 958 643
